Name,Twitter Handle,Influencer Score,Follower Count,This year placement,Last year placement
Liam Payne,@LiamPayne,97,33 million,1,Not listed
Donald Trump,@realDonaldTrump,96,56 million,2,2 (same)
Justin Bieber,@justinbieber,95,105 million,3,1 (-2)
Barack Obama,@BarackObama,95,103 million,4,8 (+4)
Cristiano Ronaldo,@Cristiano,95,76 million,5,4 (-1)
Niall Horan,@NiallOfficial,95,40 million,6,9 (+3)
Bruno Mars,@BrunoMars,94,43 million,7,Not listed
Amitabh Bachchan,@SrBachchan,94,36 million,8,Not listed
David Guetta,@davidguetta,94,22 million,9,Not listed
A.R.Rahman,@arrahman,94,21 million,10,Not listed